epoch,accuracy,loss,val_accuracy,val_loss
0,0.37309715151786804,1.3219488859176636,0.42939481139183044,1.2648813724517822
1,0.6493219137191772,0.971533477306366,0.6743515729904175,0.8918367028236389
2,0.79213947057724,0.5773839354515076,0.7060518860816956,0.7889276742935181
3,0.8483254909515381,0.41678014397621155,0.6974063515663147,0.7778767943382263
4,0.8890119194984436,0.3206842243671417,0.6974063515663147,0.8459216952323914
5,0.9097702503204346,0.26679542660713196,0.6974063515663147,0.8903930187225342
6,0.9308054447174072,0.21519216895103455,0.680115282535553,0.9538801312446594
7,0.9451978802680969,0.1835319995880127,0.6829971075057983,1.0075236558914185
8,0.9526709318161011,0.16193819046020508,0.6599423885345459,1.064030408859253
9,0.9595903754234314,0.14150162041187286,0.6714697480201721,1.1009180545806885
10,0.9634652733802795,0.12871268391609192,0.6570605039596558,1.1700454950332642
11,0.9687240719795227,0.11287335306406021,0.6657060384750366,1.213161826133728
12,0.9678937196731567,0.10729385167360306,0.6484149694442749,1.2576725482940674
13,0.9712150692939758,0.10364356637001038,0.6685879230499268,1.3271191120147705
14,0.971491813659668,0.094499871134758,0.6426513195037842,1.3059741258621216
15,0.9725989699363708,0.09083056449890137,0.6340057849884033,1.3635648488998413
16,0.9703847169876099,0.08560781180858612,0.6426513195037842,1.52018404006958
17,0.9723221659660339,0.09077205508947372,0.6541786789894104,1.3828500509262085
18,0.9748131632804871,0.07555949687957764,0.6570605039596558,1.4464539289474487
19,0.9775809645652771,0.0765484943985939,0.639769434928894,1.4843767881393433
20,0.975643515586853,0.07055521756410599,0.639769434928894,1.4792797565460205
21,0.975643515586853,0.07039070874452591,0.651296854019165,1.5276111364364624
22,0.976473867893219,0.06950973719358444,0.651296854019165,1.4827244281768799
23,0.976473867893219,0.06832195073366165,0.6340057849884033,1.663761019706726
24,0.975089967250824,0.0714271292090416,0.6455331444740295,1.5717929601669312
